SeID,date,itemCode,category,itemPrice,quantitySold,totalSales
SE001,7/12/2024,I001,Home Appliances,399.11,3,1197.33
SE002,7/12/2024,I002,Home Appliances,406.01,5,2030.05
SE003,7/12/2024,I003,Home Appliances,106.97,2,213.94
SE004,7/12/2024,I004,Home Appliances,88.50,4,354.00
SE005,7/12/2024,I005,Home Appliances,128.95,3,386.85
SE006,7/12/2024,I006,Home Appliances,483.81,6,2902.86
SE007,7/12/2024,I007,Home Appliances,220.82,1,220.82
SE008,7/12/2024,I008,Home Appliances,198.08,7,1386.56
SE009,7/12/2024,I009,Home Appliances,468.74,2,937.48
SE010,7/12/2024,I010,Home Appliances,290.12,3,870.36
SE011,7/12/2024,I011,Home Appliances,337.92,5,1689.60
SE012,7/12/2024,I012,Home Appliances,152.68,4,610.72
SE013,7/12/2024,I013,Home Appliances,198.97,3,596.91
SE014,7/12/2024,I014,Home Appliances,239.72,2,479.44
SE015,7/12/2024,I015,Home Appliances,362.10,1,362.10
SE016,7/12/2024,I016,Home Appliances,440.98,6,2645.88
SE017,7/12/2024,I017,Home Appliances,112.47,4,449.88
SE018,7/12/2024,I018,Home Appliances,307.66,5,1538.30
SE019,7/12/2024,I019,Home Appliances,61.84,3,185.52
SE020,7/12/2024,I020,Home Appliances,123.41,2,246.82
SE021,7/12/2024,I021,Home Essentials,69.75,6,418.50
SE022,7/12/2024,I022,Home Essentials,176.71,5,883.55
SE023,7/12/2024,I023,Home Essentials,455.75,2,911.50
SE024,7/12/2024,I024,Home Essentials,70.69,7,494.83
SE025,7/12/2024,I025,Home Essentials,240.66,4,962.64
SE026,7/12/2024,I026,Home Essentials,438.78,3,1316.34
SE027,7/12/2024,I027,Home Essentials,459.25,2,918.50
SE028,7/12/2024,I028,Home Essentials,375.75,4,1503.00
SE029,7/12/2024,I029,Home Essentials,308.39,6,1850.34
SE030,7/12/2024,I030,Home Essentials,191.90,3,575.70
SE031,7/12/2024,I031,Home Essentials,444.83,2,889.66
SE032,7/12/2024,I032,Home Essentials,103.73,5,518.65
SE033,7/12/2024,I033,Home Essentials,105.95,4,423.80
SE034,7/12/2024,I034,Home Essentials,144.61,3,433.83
SE035,7/12/2024,I035,Home Essentials,497.94,6,2987.64
SE036,7/12/2024,I036,Home Essentials,407.77,4,1631.08
SE037,7/12/2024,I037,Home Essentials,150.38,5,751.90
SE038,7/12/2024,I038,Home Essentials,483.80,2,967.60
SE039,7/12/2024,I039,Home Essentials,335.44,3,1006.32
SE040,7/12/2024,I040,Home Essentials,426.63,7,2986.41
SE041,7/12/2024,I041,Electronics,447.13,2,894.26
SE042,7/12/2024,I042,Electronics,388.07,5,1940.35
SE043,7/12/2024,I043,Electronics,353.13,1,353.13
SE044,7/12/2024,I044,Electronics,131.57,2,263.14
SE045,7/12/2024,I045,Electronics,257.19,3,771.57
SE046,7/12/2024,I046,Electronics,98.56,4,394.24
SE047,7/12/2024,I047,Electronics,425.09,1,425.09
SE048,7/12/2024,I048,Electronics,458.43,5,2292.15
SE049,7/12/2024,I049,Electronics,364.67,6,2188.02
SE050,7/12/2024,I050,Electronics,185.09,2,370.18
SE051,8/12/2024,I051,Electronics,442.34,5,2211.70
SE052,9/12/2024,I052,Electronics,397.69,4,1590.76
SE053,10/12/2024,I053,Electronics,497.13,3,1491.39
SE054,11/12/2024,I054,Electronics,106.08,5,530.40
SE055,12/12/2024,I055,Electronics,130.82,6,784.92
SE056,13/12/2024,I056,Electronics,171.99,3,515.97
SE057,14/12/2024,I057,Electronics,105.76,4,423.04
SE058,15/12/2024,I058,Electronics,106.35,5,531.75
SE059,16/12/2024,I059,Electronics,390.31,7,2732.17
SE060,17/12/2024,I060,Electronics,193.69,13,2517.97
SE061,18/12/2024,I001,Home Appliances,399.11,12,4789.32
SE062,19/12/2024,I005,Home Appliances,128.95,13,1676.35
SE063,20/12/2024,I060,Electronics,193.69,12,2324.28
