itemCode,itemName,category,itemPrice
I001,Hair Dryer,Home Appliances,399.11
I002,Microwave Oven,Home Appliances,406.01
I003,Refrigerator,Home Appliances,106.97
I004,Washing Machine,Home Appliances,88.50
I005,Vacuum Cleaner,Home Appliances,128.95
I006,Electric Kettle,Home Appliances,483.81
I007,Toaster,Home Appliances,220.82
I008,Blender,Home Appliances,198.08
I009,Iron,Home Appliances,468.74
I010,Air Purifier,Home Appliances,290.12
I011,Dishwasher,Home Appliances,337.92
I012,Coffee Maker,Home Appliances,152.68
I013,Water Heater,Home Appliances,198.97
I014,Food Processor,Home Appliances,239.72
I015,Rice Cooker,Home Appliances,362.10
I016,Fan,Home Appliances,440.98
I017,Air Conditioner,Home Appliances,112.47
I018,Juicer,Home Appliances,307.66
I019,Oven Toaster,Home Appliances,61.84
I020,Electric Grill,Home Appliances,123.41
I021,Pillow,Home Essentials,69.75
I022,Blanket,Home Essentials,176.71
I023,Curtains,Home Essentials,455.75
I024,Carpet,Home Essentials,70.69
I025,Mattress,Home Essentials,240.66
I026,Towels,Home Essentials,438.78
I027,Shower Curtain,Home Essentials,459.25
I028,Laundry Basket,Home Essentials,375.75
I029,Storage Box,Home Essentials,308.39
I030,Chair,Home Essentials,191.90
I031,Table,Home Essentials,444.83
I032,Wardrobe,Home Essentials,103.73
I033,Bookshelf,Home Essentials,105.95
I034,Desk Lamp,Home Essentials,144.61
I035,Wall Clock,Home Essentials,497.94
I036,Door Mat,Home Essentials,407.77
I037,Broom,Home Essentials,150.38
I038,Mop,Home Essentials,483.80
I039,Dustbin,Home Essentials,335.44
I040,Clothes Rack,Home Essentials,426.63
I041,Smartphone,Electronics,447.13
I042,Laptop,Electronics,388.07
I043,Tablet,Electronics,353.13
I044,Smartwatch,Electronics,131.57
I045,Headphones,Electronics,257.19
I046,Bluetooth Speaker,Electronics,98.56
I047,Gaming Console,Electronics,425.09
I048,Monitor,Electronics,458.43
I049,Printer,Electronics,364.67
I050,External Hard Drive,Electronics,185.09
I051,USB Flash Drive,Electronics,442.34
I052,Camera,Electronics,397.69
I053,Tripod,Electronics,497.13
I054,Smart TV,Electronics,106.08
I055,Streaming Device,Electronics,130.82
I056,Power Bank,Electronics,171.99
I057,Wireless Charger,Electronics,105.76
I058,Router,Electronics,106.35
I059,Drone,Electronics,390.31
I060,VR Headset,Electronics,193.69
